CODIGO,DESCRIPCION,STOCK,PRECIO $,MARCA,MINI CODIGO,DETALLES,PRECIO EN SOLES
ACECOR3OTC, SAMPLE FOR CHARGING CART, 1,999,ECOTREND,150745,"Gabinete de carga Ecotrend QP-R30TC, negro.[@@@]",5027.986
ACCADVKBSP5737, KEYBOARD PARA TABLET SP5737, 0,10,ADVANCE COMPUTER CORP,423887,"Estuche Advance para tablet SP5737 con teclado micro usb, coral[@@@]Optimiza tu produ",69.14
ACCDGRRASBT1, GORRA BLUETOOTH TIPO BASEBALL, 1,7.8,DELTRON,329347,,58.1092
ACCHP2GU07AA, ADJUSTABLE HEIGHT STAND PROONE, 16,63.5,HP COMERCIAL,423887,"Soporte de altura ajustable HP, Vesa 100x100, Negro.[@@@]",337.389
ACCLNERVINYLPCK, CLEANERVINYL PRO COLLECTOR KIT, 1,518,ZZ OTRAS MARCAS,302277,CleanerVinyl Pro Collector Kit[@@@]Se adapta a lamayoría de los limpiadores ultrasóni,2616.252
ACCLNERVINYLRPM, CLEANERVINYL RPM, 1,94,ZZ OTRAS MARCAS,214228,"Accesorio CleanerVinyl RPM, Control de velocidad de giro de la barra de discos.[@@@]P",490.31600000000003
ACCNECKFANW, VENTILADOR DE CUELLO BLANCO,20,5,DELTRON,433319,,44.07
ACCTE8082T, EXHIBIDOR SMART WATCH TE8082,20,999,TEROS,424366,Exhibidor Smart Watch TE8082[@@@]El exhibidor Smart Watch TE8082 es un elegante sopor,5027.986
ACCZZDCPOWPLUGS, DC POWER PLUGS,20,1.4,ZZ OTRAS MARCAS,177279,"Conector Plug CUI Inc. PP-019, 1.1 / 2.8 mm, Niquel, PVC, Negro, 100M Ohm, 16V/4A.[@@",26.0196
ZZNCCTEIDS18585,  TE-IDS18585 PARA DELL-CONSUMO,20,99,ZZ OTRAS MARCAS,438691,,515.386
ZZTVTUNNER-B, DIGITAL TV TUNNER, 2,51.8,ADVANCE COMPUTER CORP,257052,"Digital TV Tunner Advance, HD, PVR ,micro-USB, Compatible con Android.[@@@]",278.7252
ZZUSBPLAYER-B, USB PLAYER, 2,9999999.99,ZZ OTRAS MARCAS,257167,"Sintonizador TV, Micro USB, receptor + Antena, negro.[@@@]",50140018.94986001
ACHPGM110AA, AC HP ESATA PCI CABLE KIT, 6,15.7,HP COMERCIAL,68044,"Kit de cables PCI eSATA HP (GM110AA), para convertir 2 puertos SATA internos en exter",97.7198
ACCNOHUBDCK11N1, NOVOO HUB DOCKIN USB-C 11-IN-1,20,40.4,NOVOO,469388,"Estacion de puertos/Docking Station NOVOO 11-in-1, Interfaz USB-C, Plug-and-Play[@@@]",221.5656
ACCNOHUBDCK14N1, NOVOO HUB DOCKIN USB-C 14-IN-1, 20,52.8,NOVOO,469389,"Estacion de puertos/Docking Station NOVOO 14-in-1, Interfaz USB-C, Plug-and-Play[@@@]",283.7392
ACCNOHUBDCK7N1, NOVOO HUB DOCKING USB-C 7-IN-1,20,31.4,NOVOO,469387,"Estacion de puertos/Docking Station NOVOO 7-in-1,Interfaz USB-C, Plug-and-Play[@@@]",176.4396
ACCSSKDK103USB3, OFFLINE CLONER/DUPLICATOR DOCK,20,35.4,SSK,469368,"Estación/Docking SSK Dual para HDD/SSD (3.5""/2.5"") con funciónes de clonación/duplica",196.4956
ACCSSKENCHEV600, USB 3.0 TO SATA 2.5” ENCLOSURE,20,15.4,SSK,381723,"Enclosure SSK de Aluminio, Portatil, USB 3.0-to-SATA (6Gbps), Soporta 2.5"" HDD & SSD",96.21560000000001
ACCSSKENHEC600, USB-C TO SATA 2.5” ENCLOSURE,20,20.4,SSK,381720,"Enclosure SSK de Aluminio, USB-C 3.1 Gen 2-to-SATA (6Gb/s), soporta 2.5"" HDD/SSD SATA",121.2856
ACCSSKHEC371, ENCLOSURE TF SSD M.2 NVME USBC,20,24.4,SSK,470640,"Enclosure SSK de aluminio Tool-Free, USB-C 3.2 Gen 2 para SSD M.2 NVMe (PCie) / NGFF(",141.3416
ACCSSKSHEC325PR, ENCLOSURE P/ SSD M.2 NVME USB,20,25.4,SSK,405899,"Enclosure para SSD M.2 NVMe (PCIe) / SATA, admitetamaños 2242/2260/2280, USB-C 3.2 Ge",146.35559999999998
